date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:44	3935263/3935263	---M--	200	added ('OK')	image/png	etag:W/%223c0c1f-19ef9df8948%22	https://rig.ai/assets/cta-vortex.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/assets/cta-vortex.png	(from https://rig.ai/)
14:23:44	66/66	---MCZ	200	added ('OK')	text/javascript	etag:W/%2242-19ef9df8948%22	https://rig.ai/_astro/index.astro_astro_type_script_index_0_lang.CCiO6AmC.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.astro_astro_type_script_index_0_lang.CCiO6AmC.js	(from https://rig.ai/)
14:23:45	62315/62315	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f36b-19ef9df8948%22	https://rig.ai/_astro/index.astro_astro_type_script_index_1_lang.Ceh0AzUq.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.astro_astro_type_script_index_1_lang.Ceh0AzUq.js	(from https://rig.ai/)
14:23:45	15162/15162	---MCZ	200	added ('OK')	text/javascript	etag:W/%223b3a-19ef9df8948%22	https://rig.ai/_astro/index.astro_astro_type_script_index_2_lang.BozKVjHC.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.astro_astro_type_script_index_2_lang.BozKVjHC.js	(from https://rig.ai/)
14:23:46	11092/11092	---M--	200	added ('OK')	font/woff2	etag:W/%222b54-19ef9df8948%22	https://rig.ai/fonts/InstrumentSans-latin-ext.woff2	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/fonts/InstrumentSans-latin-ext.woff2	(from https://rig.ai/_astro/_slug_.syMwFS_H.css)
14:23:46	22944/22944	---M--	200	added ('OK')	font/woff2	etag:W/%2259a0-19ef9df8948%22	https://rig.ai/fonts/ChivoMono-latin-ext.woff2	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/fonts/ChivoMono-latin-ext.woff2	(from https://rig.ai/_astro/_slug_.syMwFS_H.css)
14:23:46	39636/39636	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/blog/building-inference-engine	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/blog/building-inference-engine.html	(from https://rig.ai/blog)
14:23:47	40257/40257	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/blog/compressing-a-model-to-run-locally	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/blog/compressing-a-model-to-run-locally.html	(from https://rig.ai/blog)
14:23:47	37418/37418	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/blog/teaching-a-model-to-code	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/blog/teaching-a-model-to-code.html	(from https://rig.ai/blog)
14:23:48	27206/27206	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2013:43:58%20GMT	https://rig.ai/blog/manifesto	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/blog/manifesto.html	(from https://rig.ai/blog)
14:23:48	8998/8998	---MCZ	200	added ('OK')	text/css	etag:W/%222326-19ef9df8948%22	https://rig.ai/_astro/index.b3kNMUYY.css	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.b3kNMUYY.css	(from https://rig.ai/waitlist)
14:23:48	4139/4139	---MCZ	200	added ('OK')	text/javascript	etag:W/%22102b-19ef9df8948%22	https://rig.ai/_astro/index.astro_astro_type_script_index_0_lang.BFU1Ap-F.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.astro_astro_type_script_index_0_lang.BFU1Ap-F.js	(from https://rig.ai/waitlist)
14:23:48	345/345	---MCZ	200	added ('OK')	text/javascript	etag:W/%22159-19ef9df8948%22	https://rig.ai/_astro/index.astro_astro_type_script_index_1_lang.CmB44lM6.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/_astro/index.astro_astro_type_script_index_1_lang.CmB44lM6.js	(from https://rig.ai/waitlist)
14:23:49	4711/4711	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jul%202026%2008:53:48%20GMT	https://rig.ai/cdn-cgi/l/email-protection	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/cdn-cgi/l/email-protection	(from https://rig.ai/privacy)
14:23:49	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2019%20Jul%202026%2008:53:49%20GMT	https://rig.ai/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://rig.ai/privacy)
14:23:49	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:49%20GMT	https://rig.ai/api/media/file/rigd-flow-400x300.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-400x300.png	(from https://rig.ai/blog/building-inference-engine)
14:23:50	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:50%20GMT	https://rig.ai/api/media/file/rigd-flow-768x1024.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-768x1024.png	(from https://rig.ai/blog/building-inference-engine)
14:23:50	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:50%20GMT	https://rig.ai/api/media/file/rigd-flow-1920x1080.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-1920x1080.png	(from https://rig.ai/blog/building-inference-engine)
14:23:50	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:50%20GMT	https://rig.ai/api/media/file/rigd-flow.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow.png	(from https://rig.ai/blog/building-inference-engine)
14:23:52	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:51%20GMT	https://rig.ai/api/media/file/rigd-flow-400x300.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-400x300.html	(from https://rig.ai/blog/building-inference-engine)
14:23:52	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:51%20GMT	https://rig.ai/api/media/file/rigd-flow-768x1024.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-768x1024.html	(from https://rig.ai/blog/building-inference-engine)
14:23:52	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:51%20GMT	https://rig.ai/api/media/file/rigd-flow-1920x1080.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-1920x1080.html	(from https://rig.ai/blog/building-inference-engine)
14:23:53	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:52%20GMT	https://rig.ai/api/media/file/rigd-flow.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow.html	(from https://rig.ai/blog/building-inference-engine)
14:23:53	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:52%20GMT	https://rig.ai/api/media/file/rigd-flow-400x300.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-400x300.html	(from https://rig.ai/blog/building-inference-engine)
14:23:53	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:53%20GMT	https://rig.ai/api/media/file/rigd-flow-1920x1080.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-1920x1080.html	(from https://rig.ai/blog/building-inference-engine)
14:23:53	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:53%20GMT	https://rig.ai/api/media/file/rigd-flow-768x1024.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow-768x1024.html	(from https://rig.ai/blog/building-inference-engine)
14:23:53	6359/6359	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sun,%2019%20Jul%202026%2008:53:53%20GMT	https://rig.ai/api/media/file/rigd-flow.png	C:/Users/Vivek/Downloads/downloads/New%20folder/rig-template/rig.ai/api/media/file/rigd-flow.html	(from https://rig.ai/blog/building-inference-engine)
